word,pronunciation,meaning,example,image_url,category,difficulty
男性,だんせい,đàn ông,.,,,easy
女性,じょせい,phụ nữ,.,,,easy
高齢,こうれい,cao tuổi,.,,,easy
年上,としうえ,hơn tuổi,.,,,easy
目上,めうえ,bề trên,.,,,easy
先輩,せんぱい,tiền bối,.,,,easy
後輩,こうはい,hậu bối,.,,,easy
上司,じょうし,cấp trên,.,,,easy
相手,あいて,người đối diện,.,,,easy
知り合い,しりあい,người quen,.,,,easy
友人,ゆうじん,bạn bè,.,,,easy
仲,なか,mối quan hệ,.,,,easy
生年月日,せいねんがっぴ,ngày tháng năm sinh,.,,,easy
誕生,たんじょう,ra đời,.,,,easy
年,とし,năm,.,,,easy
出身,しゅっしん,quê quán,.,,,easy
故郷,こきょう,cố hương,.,,,easy
成長,せいちょう,trưởng thành,.,,,easy
成人,せいじん,người trưởng thành,.,,,easy
合格,ごうかく,đỗ đại học,.,,,easy
進学,しんがく,vào đại học,.,,,easy
退学,たいがく,bỏ học,.,,,easy
就職,しゅうしょく,có việc làm,.,,,easy
退職,たいしょく,nghỉ việc,.,,,easy
失業,しつぎょう,thất nghiệp,.,,,easy
残業,ざんぎょう,làm thêm,.,,,easy
生活,せいかつ,cuộc sống,.,,,easy
通勤,つうきん,đi làm,.,,,easy
学歴,がくれき,bằng cấp,.,,,easy
給料,きゅうりょう,tiền lương,.,,,easy
面接,めんせつ,phỏng vấn,.,,,easy
休憩,きゅうけい,nghỉ ngơi,.,,,easy
観光,かんこう,tham quan,.,,,easy
帰国,きこく,về nước,.,,,easy
帰省,きせい,về quê,.,,,easy
帰宅,きたく,về nhà,.,,,easy
参加,さんか,tham gia,.,,,easy
出席,しゅっせき,có mặt,.,,,easy
欠席,けっせき,vắng mặt,.,,,easy
遅刻,ちこく,đến muộn,.,,,easy
化粧,けしょう,trang điểm,.,,,easy
計算,けいさん,tính toán,.,,,easy
計画,けいかく,kế hoạch,.,,,easy
成功,せいこう,thành công,.,,,easy
失敗,しっぱい,thất bại,.,,,easy
準備,じゅんび,chuẩn bị,.,,,easy
整理,せいり,chỉnh sửa,.,,,easy
注文,ちゅうもん,đặt hàng,.,,,easy
貯金,ちょきん,tiết kiệm,.,,,easy
徹夜,てつや,thức xuyên đêm,.,,,easy
引っ越し,ひっこし,chuyển nhà,.,,,easy
身長,しんちょう,chiều cao,.,,,easy
体重,たいじゅう,cân nặng,.,,,easy
けが,けが,vết thương,.,,,easy
会,かい,"hội, tiệc",.,,,easy
趣味,しゅみ,sở thích,.,,,easy
興味,きょうみ,hứng thú,.,,,easy
思い出,おもいで,nhớ lại,.,,,easy
冗談,じょうだん,đùa cợt,.,,,easy
目的,もくてき,mục đích,.,,,easy
約束,やくそく,lời hứa,.,,,easy
おしゃべり,おしゃべり,nói chuyện riêng,.,,,easy
遠慮,えんりょ,ngại ngần,.,,,easy
我慢,がまん,chịu đựng,.,,,easy
迷惑,めわく,làm phiền,.,,,easy
希望,きぼう,hi vọng,.,,,easy
夢,ゆめ,giấc mơ,.,,,easy
賛成,さんせい,đồng ý,.,,,easy
反対,はんたい,đối lập,.,,,easy
想像,そうぞう,tưởng tượng,.,,,easy
努力,どりょく,nỗ lực,.,,,easy
太陽,たいよう,mặt trời,.,,,easy
地球,ちきゅう,trái đất,.,,,easy
温度,おんど,nhiệt độ,.,,,easy
湿度,しつど,độ ẩm,.,,,easy
湿気,しっけ,hơi ẩm,.,,,easy
梅雨,つゆ,mùa mưa,.,,,easy
かび,かび,nấm mốc,.,,,easy
暖房,だんぼう,điều hòa ấm,.,,,easy
皮,かわ,da,.,,,easy
缶,かん,đồ hộp,.,,,easy
画面,がめん,màn hình,.,,,easy
番組,ばんぐみ,chương trình,.,,,easy
記事,きじ,ký sự,.,,,easy
近所,きんじょ,xung quanh,.,,,easy
警察,けいさつ,cảnh sát,.,,,easy
犯人,はんにん,tội phạm,.,,,easy
小銭,こぜに,tiền lẻ,.,,,easy
ごちそう,ごちそう,chiêu đãi,.,,,easy
作者,作者,tác giả,.,,,easy
作品,さくひん,tác phẩm,.,,,easy
制服,せいふく,đồng phục,.,,,easy
洗剤,せんざい,bột giặt,.,,,easy
底,そこ,đáy,.,,,easy
地下,ちか,ngầm,.,,,easy
寺,てら,chùa,.,,,easy
道路,どうろ,đường,.,,,easy
坂,さか,dốc,.,,,easy
煙,けむり,khói,.,,,easy
灰,はい,tàn,.,,,easy
判,はん,con dấu,.,,,easy
名刺,めいし,danh thiếp,.,,,easy
免許,めんきょ,giấy phép,.,,,easy
多く,おおく,nhiều,.,,,easy
前半,ぜんはん,phần đầu,.,,,easy
後半,こうはん,phần cuối,.,,,easy
最高,さいこう,cao nhất,.,,,easy
最低,さいてい,thấp nhất,.,,,easy
最初,さいしょ,đầu tiên,.,,,easy
最後,さいご,cuối cùng,.,,,easy
自動,じどう,tự động,.,,,easy
種類,しゅるい,loại,.,,,easy
性格,せいかく,tính cách,.,,,easy
性質,せいしつ,tính chất,.,,,easy
順番,じゅんばん,thứ tự,.,,,easy
番,ばん,lượt,.,,,easy
方法,ほうほう,phương pháp,.,,,easy
製品,せいひん,sản phẩm,.,,,easy
値上がり,ねあがり,tăng giá,.,,,easy
生,なま,tươi,.,,,easy
